time / s, flags, speedup
29.01,lulesh2.0_4_5_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops,5.1
29.02,lulesh2.0_4_2_ -march=native -fomit-frame-pointer -floop-block -funroll-loops,5.09
29.04,lulesh2.0_4_11_ -march=native -floop-block -floop-interchange -funroll-loops,5.07
29.15,lulesh2.0_3_12_ -march=native -floop-strip-mine -funroll-loops,4.96
29.16,lulesh2.0_3_10_ -march=native -floop-interchange -funroll-loops,4.95
29.17,lulesh2.0_6_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,4.94
29.28,lulesh2.0_5_6_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,4.83
29.32,lulesh2.0_3_3_ -march=native -fomit-frame-pointer -funroll-loops,4.79
29.33,lulesh2.0_4_13_ -march=native -floop-block -floop-strip-mine -funroll-loops,4.78
29.37,lulesh2.0_5_10_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops,4.74
29.38,lulesh2.0_4_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine,4.73
29.39,lulesh2.0_4_16_ -march=native -floop-interchange -floop-strip-mine -funroll-loops,4.72
29.41,lulesh2.0_5_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,4.7
29.45,lulesh2.0_2_4_ -march=native -funroll-loops,4.66
29.46,lulesh2.0_5_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,4.65
29.47,lulesh2.0_4_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange,4.64
29.50,lulesh2.0_3_7_ -march=native -floop-block -funroll-loops,4.61
29.54,lulesh2.0_3_9_ -march=native -floop-interchange -floop-strip-mine,4.57
29.55,lulesh2.0_1_2_ -floop-block,4.56
29.55,lulesh2.0_4_1_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine,4.56
29.56,lulesh2.0_2_3_ -march=native -floop-strip-mine,4.55
29.60,lulesh2.0_4_7_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops,4.51
29.61,lulesh2.0_4_10_ -march=native -floop-block -floop-interchange -floop-strip-mine,4.5
29.62,lulesh2.0_5_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,4.49
29.69,lulesh2.0_3_5_ -march=native -floop-block -floop-interchange,4.42
29.71,lulesh2.0_1_0_ -march=native,4.4
29.83,lulesh2.0_2_1_ -march=native -floop-block,4.28
29.84,lulesh2.0_2_2_ -march=native -floop-interchange,4.27
29.84,lulesh2.0_3_1_ -march=native -fomit-frame-pointer -floop-interchange,4.27
29.86,lulesh2.0_3_6_ -march=native -floop-block -floop-strip-mine,4.25
29.89,lulesh2.0_3_0_ -march=native -fomit-frame-pointer -floop-block,4.22
29.90,lulesh2.0_3_2_ -march=native -fomit-frame-pointer -floop-strip-mine,4.21
33.16,lulesh2.0_3_14_ -march=native -funroll-loops -flto,0.95
33.25,lulesh2.0_4_19_ -march=native -floop-strip-mine -funroll-loops -flto,0.86
33.32,lulesh2.0_5_12_ -march=native -floop-block -floop-interchange -funroll-loops -flto,0.79
33.37,lulesh2.0_6_5_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,0.74
33.40,lulesh2.0_6_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,0.71
33.40,lulesh2.0_7_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,0.71
