lulesh2.0_6_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,4.92
lulesh2.0_4_16_ -march=native -floop-interchange -floop-strip-mine -funroll-loops,4.87
lulesh2.0_4_13_ -march=native -floop-block -floop-strip-mine -funroll-loops,4.845
lulesh2.0_4_5_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops,4.825
lulesh2.0_4_11_ -march=native -floop-block -floop-interchange -funroll-loops,4.785
lulesh2.0_4_2_ -march=native -fomit-frame-pointer -floop-block -funroll-loops,4.77
lulesh2.0_3_12_ -march=native -floop-strip-mine -funroll-loops,4.735
lulesh2.0_5_6_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,4.725
lulesh2.0_5_10_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops,4.71
lulesh2.0_3_10_ -march=native -floop-interchange -funroll-loops,4.7
lulesh2.0_2_4_ -march=native -funroll-loops,4.65
lulesh2.0_3_3_ -march=native -fomit-frame-pointer -funroll-loops,4.65
lulesh2.0_5_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,4.6
lulesh2.0_5_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,4.595
lulesh2.0_3_7_ -march=native -floop-block -funroll-loops,4.57
lulesh2.0_4_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine,4.49
lulesh2.0_1_2_ -floop-block,4.465
lulesh2.0_2_3_ -march=native -floop-strip-mine,4.465
lulesh2.0_4_7_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops,4.455
lulesh2.0_4_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange,4.41
lulesh2.0_3_9_ -march=native -floop-interchange -floop-strip-mine,4.375
lulesh2.0_3_5_ -march=native -floop-block -floop-interchange,4.34
lulesh2.0_1_0_ -march=native,4.34
lulesh2.0_5_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,4.335
lulesh2.0_4_1_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine,4.295
lulesh2.0_4_10_ -march=native -floop-block -floop-interchange -floop-strip-mine,4.245
lulesh2.0_2_1_ -march=native -floop-block,4.24
lulesh2.0_2_2_ -march=native -floop-interchange,4.24
lulesh2.0_3_2_ -march=native -fomit-frame-pointer -floop-strip-mine,4.235
lulesh2.0_3_1_ -march=native -fomit-frame-pointer -floop-interchange,4.23
lulesh2.0_3_0_ -march=native -fomit-frame-pointer -floop-block,4.215
lulesh2.0_3_6_ -march=native -floop-block -floop-strip-mine,4.185
lulesh2.0_3_14_ -march=native -funroll-loops -flto,0.835
lulesh2.0_6_5_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,0.765
lulesh2.0_5_12_ -march=native -floop-block -floop-interchange -funroll-loops -flto,0.725
lulesh2.0_6_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,0.705
lulesh2.0_4_18_ -march=native -floop-interchange -funroll-loops -flto,0.695
lulesh2.0_4_19_ -march=native -floop-strip-mine -funroll-loops -flto,0.69
lulesh2.0_4_9_ -march=native -fomit-frame-pointer -funroll-loops -flto,0.625
lulesh2.0_5_9_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,0.61
lulesh2.0_5_14_ -march=native -floop-interchange -floop-strip-mine -funroll-loops -flto,0.605
lulesh2.0_7_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,0.605
lulesh2.0_4_15_ -march=native -floop-block -funroll-loops -flto,0.57
lulesh2.0_5_8_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops -flto,0.56
lulesh2.0_6_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,0.55
lulesh2.0_5_13_ -march=native -floop-block -floop-strip-mine -funroll-loops -flto,0.515
lulesh2.0_5_5_ -march=native -fomit-frame-pointer -floop-block -funroll-loops -flto,0.5
lulesh2.0_6_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,0.495
lulesh2.0_4_30_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.485
lulesh2.0_3_11_ -march=native -floop-interchange -flto,0.335
