time / s, flags, speedup
35.94,lulesh2.0_4_7_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops,3.75
35.95,lulesh2.0_4_2_ -march=native -fomit-frame-pointer -floop-block -funroll-loops,3.74
35.99,lulesh2.0_4_11_ -march=native -floop-block -floop-interchange -funroll-loops,3.7
36.01,lulesh2.0_5_6_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,3.68
36.03,lulesh2.0_4_16_ -march=native -floop-interchange -floop-strip-mine -funroll-loops,3.66
36.09,lulesh2.0_6_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,3.6
36.14,lulesh2.0_5_10_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops,3.55
36.20,lulesh2.0_4_5_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops,3.49
36.25,lulesh2.0_5_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,3.44
36.26,lulesh2.0_2_4_ -march=native -funroll-loops,3.43
36.27,lulesh2.0_3_12_ -march=native -floop-strip-mine -funroll-loops,3.42
36.29,lulesh2.0_4_13_ -march=native -floop-block -floop-strip-mine -funroll-loops,3.4
36.36,lulesh2.0_3_10_ -march=native -floop-interchange -funroll-loops,3.33
36.37,lulesh2.0_3_3_ -march=native -fomit-frame-pointer -funroll-loops,3.32
36.37,lulesh2.0_3_7_ -march=native -floop-block -funroll-loops,3.32
36.42,lulesh2.0_5_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,3.27
36.64,lulesh2.0_3_2_ -march=native -fomit-frame-pointer -floop-strip-mine,3.05
36.67,lulesh2.0_4_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange,3.02
36.72,lulesh2.0_3_1_ -march=native -fomit-frame-pointer -floop-interchange,2.97
36.73,lulesh2.0_4_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine,2.96
36.76,lulesh2.0_4_10_ -march=native -floop-block -floop-interchange -floop-strip-mine,2.93
36.81,lulesh2.0_2_2_ -march=native -floop-interchange,2.88
36.83,lulesh2.0_4_1_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine,2.86
36.85,lulesh2.0_3_0_ -march=native -fomit-frame-pointer -floop-block,2.84
36.89,lulesh2.0_5_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,2.8
36.91,lulesh2.0_3_5_ -march=native -floop-block -floop-interchange,2.78
36.92,lulesh2.0_2_1_ -march=native -floop-block,2.77
36.94,lulesh2.0_1_0_ -march=native,2.75
36.94,lulesh2.0_1_2_ -floop-block,2.75
36.94,lulesh2.0_3_6_ -march=native -floop-block -floop-strip-mine,2.75
36.96,lulesh2.0_3_9_ -march=native -floop-interchange -floop-strip-mine,2.73
36.98,lulesh2.0_2_3_ -march=native -floop-strip-mine,2.71
39.11,lulesh2.0_3_31_ -floop-interchange -floop-strip-mine -funroll-loops,0.58
39.22,lulesh2.0_4_26_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,0.47
39.28,lulesh2.0_4_21_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,0.41
39.28,lulesh2.0_5_15_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.41
39.35,lulesh2.0_2_18_ -floop-strip-mine -funroll-loops,0.34
39.36,lulesh2.0_3_28_ -floop-block -floop-strip-mine -funroll-loops,0.33
39.36,lulesh2.0_4_30_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.33
