time / s, flags, speedup
36.07,lulesh2.0_5_10_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops,3.52
36.10,lulesh2.0_5_6_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,3.49
36.13,lulesh2.0_5_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,3.46
36.15,lulesh2.0_5_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,3.44
36.17,lulesh2.0_6_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,3.42
36.18,lulesh2.0_3_3_ -march=native -fomit-frame-pointer -funroll-loops,3.41
36.24,lulesh2.0_4_13_ -march=native -floop-block -floop-strip-mine -funroll-loops,3.35
36.28,lulesh2.0_4_7_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops,3.31
36.34,lulesh2.0_4_2_ -march=native -fomit-frame-pointer -floop-block -funroll-loops,3.25
36.34,lulesh2.0_4_5_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops,3.25
36.34,lulesh2.0_4_11_ -march=native -floop-block -floop-interchange -funroll-loops,3.25
36.36,lulesh2.0_3_7_ -march=native -floop-block -funroll-loops,3.23
36.37,lulesh2.0_2_4_ -march=native -funroll-loops,3.22
36.38,lulesh2.0_4_16_ -march=native -floop-interchange -floop-strip-mine -funroll-loops,3.21
36.42,lulesh2.0_3_12_ -march=native -floop-strip-mine -funroll-loops,3.17
36.43,lulesh2.0_3_10_ -march=native -floop-interchange -funroll-loops,3.16
36.68,lulesh2.0_4_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange,2.91
36.77,lulesh2.0_4_10_ -march=native -floop-block -floop-interchange -floop-strip-mine,2.82
36.80,lulesh2.0_1_2_ -floop-block,2.79
36.84,lulesh2.0_3_2_ -march=native -fomit-frame-pointer -floop-strip-mine,2.75
36.86,lulesh2.0_3_6_ -march=native -floop-block -floop-strip-mine,2.73
36.86,lulesh2.0_4_1_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine,2.73
36.90,lulesh2.0_2_1_ -march=native -floop-block,2.69
36.92,lulesh2.0_3_1_ -march=native -fomit-frame-pointer -floop-interchange,2.67
36.93,lulesh2.0_3_5_ -march=native -floop-block -floop-interchange,2.66
36.96,lulesh2.0_4_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine,2.63
36.97,lulesh2.0_5_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,2.62
36.99,lulesh2.0_2_3_ -march=native -floop-strip-mine,2.6
36.99,lulesh2.0_3_0_ -march=native -fomit-frame-pointer -floop-block,2.6
37.01,lulesh2.0_1_0_ -march=native,2.58
37.04,lulesh2.0_2_2_ -march=native -floop-interchange,2.55
37.04,lulesh2.0_3_9_ -march=native -floop-interchange -floop-strip-mine,2.55
39.26,lulesh2.0_3_28_ -floop-block -floop-strip-mine -funroll-loops,0.33
39.30,lulesh2.0_2_18_ -floop-strip-mine -funroll-loops,0.29
39.31,lulesh2.0_5_15_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.28
39.34,lulesh2.0_4_30_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.25
39.35,lulesh2.0_3_20_ -fomit-frame-pointer -floop-interchange -funroll-loops,0.24
39.35,lulesh2.0_4_23_ -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,0.24
39.36,lulesh2.0_3_31_ -floop-interchange -floop-strip-mine -funroll-loops,0.23
39.41,lulesh2.0_3_22_ -fomit-frame-pointer -floop-strip-mine -funroll-loops,0.18
39.48,lulesh2.0_2_16_ -floop-interchange -funroll-loops,0.11
39.48,lulesh2.0_4_21_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,0.11
39.48,lulesh2.0_4_26_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,0.11
39.50,lulesh2.0_3_26_ -floop-block -floop-interchange -funroll-loops,0.09
39.52,lulesh2.0_3_17_ -fomit-frame-pointer -floop-block -funroll-loops,0.07
