lulesh2.0_5_10_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops,3.495
lulesh2.0_6_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,3.43
lulesh2.0_5_6_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,3.415
lulesh2.0_2_4_ -march=native -funroll-loops,3.405
lulesh2.0_5_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,3.4
lulesh2.0_4_13_ -march=native -floop-block -floop-strip-mine -funroll-loops,3.385
lulesh2.0_3_3_ -march=native -fomit-frame-pointer -funroll-loops,3.34
lulesh2.0_4_2_ -march=native -fomit-frame-pointer -floop-block -funroll-loops,3.31
lulesh2.0_5_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,3.28
lulesh2.0_4_5_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops,3.265
lulesh2.0_3_12_ -march=native -floop-strip-mine -funroll-loops,3.255
lulesh2.0_4_16_ -march=native -floop-interchange -floop-strip-mine -funroll-loops,3.225
lulesh2.0_4_11_ -march=native -floop-block -floop-interchange -funroll-loops,3.22
lulesh2.0_3_10_ -march=native -floop-interchange -funroll-loops,3.19
lulesh2.0_3_7_ -march=native -floop-block -funroll-loops,3.165
lulesh2.0_4_7_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops,3.16
lulesh2.0_1_2_ -floop-block,2.905
lulesh2.0_3_2_ -march=native -fomit-frame-pointer -floop-strip-mine,2.86
lulesh2.0_3_1_ -march=native -fomit-frame-pointer -floop-interchange,2.84
lulesh2.0_3_0_ -march=native -fomit-frame-pointer -floop-block,2.82
lulesh2.0_4_10_ -march=native -floop-block -floop-interchange -floop-strip-mine,2.81
lulesh2.0_2_1_ -march=native -floop-block,2.805
lulesh2.0_2_2_ -march=native -floop-interchange,2.77
lulesh2.0_2_3_ -march=native -floop-strip-mine,2.75
lulesh2.0_4_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange,2.735
lulesh2.0_4_1_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine,2.695
lulesh2.0_1_0_ -march=native,2.69
lulesh2.0_5_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,2.665
lulesh2.0_3_6_ -march=native -floop-block -floop-strip-mine,2.64
lulesh2.0_3_5_ -march=native -floop-block -floop-interchange,2.6
lulesh2.0_4_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine,2.525
lulesh2.0_3_9_ -march=native -floop-interchange -floop-strip-mine,2.47
lulesh2.0_2_16_ -floop-interchange -funroll-loops,0.345
lulesh2.0_5_15_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.28
