size comp_time   mpi_time  real_time
64 0.000006 0.000069 2.525736463
128 0.000027 0.000095 1.871663152
256 0.000162 0.000765 1.974163938
512 0.001172 0.001781 1.994448372
1024 0.019579 0.013274 2.679582163
2048 0.302066 0.033534 4.060303653
4096 2.472916 0.169661 11.312223374
64 0.000006 0.000063 1.888510003
128 0.000027 0.000487 1.869583532
256 0.000162 0.000200 1.849609446
512 0.001157 0.001929 1.908085814
1024 0.017055 0.012389 2.574600562
2048 0.294510 0.027329 4.153350098
4096 2.503785 0.207647 11.074686344
64 0.000006 0.000421 1.876517065
128 0.000027 0.000100 1.889789162
256 0.000162 0.000602 1.891038839
512 0.001161 0.002026 1.940948884
1024 0.017116 0.012043 2.64176461
2048 0.293956 0.024191 4.053228507
4096 2.494946 0.176479 10.993154585
64 0.000006 0.000052 1.856440745
128 0.000027 0.000477 1.859636076
256 0.000163 0.000903 1.847272039
512 0.001155 0.001841 1.939026773
1024 0.017665 0.012157 2.66814377
2048 0.293770 0.045732 4.027884492
4096 2.441081 0.267452 11.044595984
64 0.000006 0.000067 1.863745535
128 0.000027 0.000090 1.868458232
256 0.000163 0.000873 1.927994221
512 0.001155 0.001868 2.005226067
1024 0.027403 0.006743 2.623954947
2048 0.295620 0.035918 4.086580732
4096 2.549361 0.074718 10.979550756
64 0.000006 0.000056 1.885274722
128 0.000027 0.000102 1.895074543
256 0.000162 0.000291 1.896073585
512 0.001166 0.002008 1.964919212
1024 0.017198 0.011755 2.615665353
2048 0.295262 0.024965 4.047216304
4096 2.545362 0.150421 11.014578597
64 0.000006 0.000371 1.823768183
128 0.000027 0.000504 1.876780743
256 0.000162 0.000775 1.949152758
512 0.001155 0.001865 1.955315863
1024 0.017034 0.009917 2.587899479
2048 0.294063 0.033670 4.036197491
4096 2.410991 0.231285 10.953244486
64 0.000006 0.000369 1.836776047
128 0.000027 0.000498 1.874578125
256 0.000161 0.000558 1.867474123
512 0.001158 0.001841 1.968519011
1024 0.017098 0.009633 2.547711923
2048 0.294247 0.034677 4.0335405
4096 2.419548 0.230090 10.958758362
64 0.000006 0.000368 1.92016684
128 0.000027 0.000496 1.819366061
256 0.000162 0.000847 1.847270171
512 0.001162 0.001865 1.949756626
1024 0.017152 0.011580 2.647785953
2048 0.293465 0.034311 4.076581183
4096 2.411009 0.198812 10.92408441
64 0.000006 0.000045 1.997536671
128 0.000027 0.000420 1.87670585
256 0.000162 0.000223 1.893349763
512 0.001162 0.001934 1.924592115
1024 0.016982 0.011856 2.585944663
2048 0.301893 0.025219 4.02383774
4096 2.455151 0.155715 11.041375363
64 0.000006 0.000055 1.903057043
128 0.000027 0.000108 1.844033129
256 0.000163 0.000890 1.864227806
512 0.001161 0.001851 1.962468926
1024 0.017157 0.009017 2.568802035
2048 0.293359 0.041145 4.082026336
4096 2.491201 0.120648 10.947429312
64 0.000006 0.000052 1.914672182
128 0.000027 0.000520 1.873576403
256 0.000162 0.000809 1.882922455
512 0.001159 0.001925 1.967379351
1024 0.017140 0.010847 2.608524049
2048 0.295102 0.034541 3.992534428
4096 2.456587 0.164279 11.068398193
64 0.000006 0.000055 1.924693747
128 0.000027 0.000539 1.80724428
256 0.000162 0.000200 1.881515944
512 0.001163 0.001854 1.95310296
1024 0.017212 0.011119 2.632448146
2048 0.294375 0.026832 4.092410308
4096 2.476370 0.201762 11.063222492
64 0.000006 0.000419 1.857541705
128 0.000027 0.000099 1.896240263
256 0.000162 0.000581 1.909395554
512 0.001156 0.001882 1.978764238
1024 0.017128 0.009882 2.591681374
2048 0.298548 0.019194 4.059326224
4096 2.402214 0.288160 11.101767058
64 0.000006 0.000066 1.832231882
128 0.000027 0.000521 1.898555604
256 0.000162 0.000904 1.940047369
512 0.001193 0.001837 1.993074204
1024 0.017014 0.015753 2.640627076
2048 0.298128 0.026304 4.08595437
4096 2.444873 0.165753 10.956213907
64 0.000006 0.000063 1.885530999
128 0.000027 0.000091 1.849431248
256 0.000164 0.000648 1.887930075
512 0.001163 0.001887 1.966843744
1024 0.017163 0.012469 2.638265016
2048 0.299995 0.032118 4.066520144
4096 2.449683 0.232686 11.073071842
64 0.000006 0.000382 1.92841805
128 0.000027 0.000092 1.895353322
