size comp_time   mpi_time  real_time
64 0.000012 0.000071 2.032767807
128 0.000061 0.000131 1.885295722
256 0.000167 0.000391 1.851592364
512 0.002506 0.000710 1.955990881
1024 0.020374 0.022726 2.336360279
2048 0.299919 0.039794 3.803758748
4096 2.421220 0.277211 10.826528761
64 0.000008 0.000075 1.880329894
128 0.000041 0.000081 1.881264508
256 0.000175 0.000181 1.900606965
512 0.001168 0.001750 1.959401534
1024 0.017418 0.026790 2.31514179
2048 0.301784 0.041365 3.692665627
4096 2.477802 0.193101 10.512986858
64 0.000009 0.000057 1.875214212
128 0.000030 0.000138 1.835990796
256 0.000183 0.000271 1.955791684
512 0.001160 0.001240 1.98754062
1024 0.017384 0.022802 2.340517786
2048 0.302828 0.040022 3.742647365
4096 2.548181 0.126457 10.548573965
64 0.000009 0.000077 1.887644342
128 0.000030 0.000098 1.908577774
256 0.000165 0.000193 1.825406464
512 0.001172 0.001285 1.947054011
1024 0.017488 0.025625 2.295074651
2048 0.308141 0.035923 3.73833774
4096 2.457072 0.252547 10.556142485
64 0.000010 0.000070 1.866661521
128 0.000031 0.000087 1.844299283
256 0.000167 0.000385 1.879478561
512 0.001163 0.001292 1.984316567
1024 0.017306 0.030787 2.319384943
2048 0.307880 0.031265 3.697042193
4096 2.492112 0.200143 10.502773239
64 0.000014 0.000067 1.927325663
128 0.000030 0.000091 1.8727147
256 0.000170 0.000173 1.903628036
512 0.001165 0.000630 2.001322585
1024 0.017315 0.027504 2.295123255
2048 0.299717 0.042559 3.716648651
4096 2.452021 0.175979 10.446186809
64 0.000009 0.000075 1.885675043
128 0.000031 0.000085 1.891844596
256 0.000168 0.000402 1.869188038
512 0.001162 0.001783 1.975230245
1024 0.017340 0.025853 2.328909702
2048 0.299662 0.038585 3.706877979
4096 2.520629 0.157258 10.571028002
64 0.000015 0.000056 1.885485503
128 0.000064 0.000092 1.866572369
256 0.000167 0.000328 1.869512665
512 0.001167 0.001787 1.947316593
1024 0.017525 0.024554 2.33622852
2048 0.306874 0.040001 3.681842946
4096 2.557433 0.125450 10.537561364
64 0.000021 0.000050 1.843092734
128 0.000032 0.000121 1.892091289
256 0.000179 0.000325 1.872646326
512 0.001162 0.001279 1.996496744
1024 0.017424 0.026126 2.343139823
2048 0.299488 0.041764 3.709111508
4096 2.696865 0.022285 10.782519046
64 0.000012 0.000072 1.978379342
128 0.000030 0.000135 1.897652392
256 0.000166 0.000292 1.888273964
512 0.001165 0.001775 1.993222128
1024 0.017435 0.027063 2.339759369
2048 0.300058 0.038208 3.728509622
4096 2.467489 0.310949 10.69985894
64 0.000008 0.000083 1.892138081
128 0.000031 0.000104 1.884389698
256 0.000166 0.000388 1.875056151
512 0.001162 0.000648 1.960029322
1024 0.019625 0.020228 2.306836967
2048 0.307166 0.035136 3.749081228
4096 2.411048 0.263048 10.566741105
64 0.000009 0.000068 1.898790667
128 0.000030 0.000150 1.897085181
256 0.000166 0.000375 1.882594752
512 0.001170 0.001752 1.963044567
1024 0.017422 0.026721 2.330718134
2048 0.300047 0.043272 3.776727793
4096 2.548730 0.213677 10.599321002
64 0.000012 0.000056 1.825445342
128 0.000030 0.000156 1.855755904
256 0.000167 0.000301 1.90030407
512 0.002510 0.000714 2.006405191
1024 0.017418 0.027286 2.360291589
2048 0.307991 0.032320 3.79625523
4096 2.488039 0.121958 10.512759044
64 0.000010 0.000066 1.882839763
128 0.000031 0.000140 1.830405424
256 0.000167 0.000294 1.897456161
512 0.001185 0.000617 1.997338542
1024 0.017940 0.027935 2.383956029
2048 0.299666 0.042528 3.708653671
4096 2.507607 0.189008 10.672453891
64 0.000015 0.000078 1.877602052
128 0.000031 0.000151 1.9014022
256 0.000165 0.000354 1.911816729
512 0.001358 0.000615 1.931184913
1024 0.017444 0.028082 2.324929766
2048 0.307505 0.038237 3.753041755
4096 2.495534 0.178483 10.552304939
64 0.000008 0.000069 1.899210595
128 0.000030 0.000089 1.874951757
256 0.000168 0.000356 1.861372154
512 0.001166 0.001765 1.922931535
1024 0.017441 0.022837 2.295041378
2048 0.301831 0.039684 3.832029882
4096 2.503257 0.172955 10.501874109
64 0.000009 0.000066 1.839411579
128 0.000030 0.000101 1.880898348
256 0.000167 0.000381 1.848250551
512 0.001164 0.000610 1.974574123
1024 0.017187 0.031236 2.343140964
2048 0.299629 0.041936 3.721324464
4096 2.479256 0.315244 10.760952823
64 0.000021 0.000053 1.862620703
128 0.000032 0.000107 1.867600454
256 0.000168 0.000403 1.912860873
512 0.001163 0.001776 1.948873366
1024 0.017358 0.021419 2.317094548
2048 0.299553 0.049878 3.793403822
4096 2.611631 0.102983 10.543531741
64 0.000010 0.000059 1.899351435
128 0.000030 0.000140 1.857152747
256 0.000166 0.000190 1.87220966
512 0.001165 0.001746 1.987137138
1024 0.017438 0.026606 2.332385228
2048 0.304744 0.041329 3.754885317
4096 2.864477 0.021988 10.669962382
64 0.000010 0.000074 1.875798954
128 0.000029 0.000143 1.931530916
256 0.000167 0.000379 1.870825557
512 0.001173 0.000583 2.001058198
1024 0.017313 0.021995 2.302749895
2048 0.299845 0.040880 3.776499365
4096 2.438659 0.224182 10.516253907
64 0.000009 0.000084 1.888495633
128 0.000030 0.000100 1.886985884
256 0.000169 0.000277 1.870242951
512 0.001162 0.001772 1.990972025
1024 0.017389 0.021355 2.294638316
2048 0.299704 0.046192 3.705176174
4096 2.425371 0.209121 10.555147341
64 0.000009 0.000068 1.987716351
128 0.000031 0.000175 1.853094999
256 0.000168 0.000364 1.879468729
512 0.001193 0.001277 1.960703148
1024 0.017448 0.026293 2.35192931
2048 0.301680 0.036988 3.709246487
4096 2.480425 0.159335 10.605905335
64 0.000009 0.000073 1.893595901
128 0.000062 0.000123 1.868520981
256 0.000184 0.000335 1.851900033
512 0.001164 0.000592 2.042696351
1024 0.017474 0.030747 2.33946303
2048 0.299619 0.042702 3.71792718
4096 2.475578 0.171149 10.474068133
64 0.000016 0.000063 1.892112288
128 0.000030 0.000116 1.912709045
256 0.000181 0.000262 1.939887543
512 0.001171 0.000625 1.972166868
1024 0.017569 0.026723 2.389523489
2048 0.298964 0.041688 3.779690052
4096 2.425924 0.225210 10.523944339
64 0.000010 0.000063 1.879879711
128 0.000031 0.000089 1.858729889
256 0.000167 0.000196 1.900294275
512 0.001168 0.001777 1.973990625
1024 0.017462 0.024370 2.325415526
2048 0.304766 0.035614 3.747577253
4096 2.463617 0.215734 10.486369456
