size comp_time   mpi_time  real_time
64 0.000014 0.000093 2.165077238
128 0.000037 0.000137 1.651686644
256 0.000225 0.000313 2.073818993
512 0.001555 0.000904 2.128020626
1024 0.018098 0.014413 2.001552299
2048 0.301819 0.019742 3.524243771
4096 2.544828 0.181863 11.172339516
64 0.000010 0.000109 1.53717599
128 0.000037 0.000132 1.616180698
256 0.000221 0.000303 1.618039558
512 0.001564 0.000904 1.665451502
1024 0.019174 0.013607 2.015066079
2048 0.301088 0.018767 3.496085462
4096 2.514718 0.245734 10.914272556
64 0.000010 0.000103 1.554197338
128 0.000037 0.000142 1.559353884
256 0.000219 0.000271 1.585791128
512 0.001584 0.000953 1.637327084
1024 0.017869 0.014313 2.023767342
2048 0.302009 0.017916 3.557053384
4096 2.515470 0.196321 10.883963383
64 0.000012 0.000102 1.539490373
128 0.000037 0.000143 1.574083481
256 0.000220 0.000308 1.575584193
512 0.001565 0.000924 1.683252503
1024 0.018371 0.014374 1.976619048
2048 0.302057 0.018123 3.494463655
4096 2.514645 0.263034 10.907905577
64 0.000010 0.000104 1.518780569
128 0.000037 0.000149 1.535712933
256 0.000227 0.000284 1.571593107
512 0.001569 0.001438 1.684703001
1024 0.017991 0.014271 2.012746251
2048 0.301608 0.018077 3.471689445
4096 2.569847 0.157522 11.322103045
64 0.000009 0.000101 1.513977214
128 0.000037 0.000144 1.526152254
256 0.000220 0.000287 1.532524619
512 0.001598 0.000999 1.668237744
1024 0.017904 0.014047 1.998356372
2048 0.301041 0.025295 3.452621791
4096 2.512749 0.222063 10.87224053
64 0.000010 0.000110 1.550174197
128 0.000039 0.000129 1.561806554
256 0.000219 0.000302 1.537507748
512 0.001559 0.001049 1.653757347
1024 0.018620 0.013654 1.977548516
2048 0.301591 0.018156 3.476799067
4096 2.517436 0.229495 10.856379212
64 0.000011 0.000117 1.528571874
128 0.000037 0.000138 1.52906183
256 0.000219 0.000283 1.518109039
512 0.001566 0.001057 1.664175338
1024 0.018098 0.014245 1.929871237
2048 0.300961 0.019068 3.465153029
4096 2.643223 0.181610 11.046175937
64 0.000010 0.000104 1.55190567
128 0.000038 0.000149 1.555841783
256 0.000233 0.000270 1.565544951
512 0.001553 0.001074 1.615315974
1024 0.017786 0.016029 2.013155745
2048 0.301430 0.018770 3.450073938
4096 2.536674 0.260080 10.886241407
64 0.000010 0.000100 1.547130389
128 0.000037 0.000143 1.543086993
256 0.000221 0.000286 1.567083931
512 0.001555 0.000970 1.612587513
1024 0.018375 0.014031 1.961346981
2048 0.302650 0.017046 3.495280062
4096 2.522447 0.233867 10.905835542
64 0.000010 0.000112 1.510153131
128 0.000037 0.000141 1.521595512
256 0.000227 0.000299 1.563020143
512 0.001586 0.000958 1.654152523
1024 0.018019 0.014383 1.976732961
2048 0.301382 0.018576 3.608577481
4096 2.526495 0.275647 10.962180926
64 0.000010 0.000108 1.558049661
128 0.000036 0.000133 1.582235313
256 0.000219 0.000291 1.552716957
512 0.001556 0.001009 1.636056302
1024 0.018292 0.016168 1.995037669
2048 0.302327 0.017326 3.507895311
4096 2.551542 0.187509 10.843831315
64 0.000010 0.000098 1.549309272
128 0.000037 0.000131 1.520808874
256 0.000225 0.000295 1.599210978
512 0.001563 0.001007 1.674521837
1024 0.018149 0.014557 1.957309533
2048 0.301915 0.018835 3.483406959
4096 2.509630 0.197807 10.819657888
64 0.000014 0.000109 1.548980313
128 0.000036 0.000148 1.505610358
256 0.000220 0.000311 1.571972496
512 0.001578 0.000970 1.627327514
1024 0.017775 0.014562 1.941572036
2048 0.305655 0.014563 3.479053184
4096 2.535292 0.322609 11.01548022
64 0.000011 0.000118 1.549797336
128 0.000036 0.000159 1.567988676
256 0.000225 0.000249 1.557632061
512 0.001572 0.001024 1.683517156
1024 0.018403 0.014249 2.041799112
2048 0.319790 0.019147 4.937994354
4096 2.528679 0.168259 11.705351294
64 0.000010 0.000119 1.542763622
128 0.000037 0.000148 1.547615453
256 0.000221 0.000277 1.521978672
512 0.001555 0.000881 1.666024232
1024 0.017940 0.014890 2.026163095
2048 0.301421 0.020055 3.507507275
4096 2.534207 0.255944 10.96654388
64 0.000010 0.000099 1.5300775
128 0.000038 0.000165 1.500920566
256 0.000231 0.000266 1.558040649
512 0.001556 0.001005 1.636447562
1024 0.018340 0.014108 1.959618719
2048 0.301158 0.018509 3.529819707
4096 2.518954 0.196127 11.31366124
64 0.000010 0.000116 2.409475043
128 0.000037 0.000148 1.629872511
256 0.000219 0.000278 1.528826049
512 0.001562 0.001062 1.657020124
1024 0.017794 0.014083 1.994457834
2048 0.300935 0.024615 3.445561429
4096 2.536854 0.200003 11.341003091
64 0.000010 0.000120 1.534115854
128 0.000037 0.000136 1.52009139
256 0.000219 0.000298 1.568510683
512 0.001595 0.001010 1.670909239
1024 0.018616 0.013697 1.920477543
2048 0.300852 0.019410 3.488540613
4096 2.610336 0.196380 10.966169486
64 0.000009 0.000118 1.553009118
128 0.000039 0.000138 1.530471818
256 0.000220 0.000337 1.555946068
512 0.001584 0.001067 1.667196897
1024 0.018433 0.014249 1.993119239
2048 0.304139 0.016013 3.562720025
4096 2.522324 0.178028 10.844687423
64 0.000012 0.000105 1.858469537
128 0.000037 0.000139 1.579837341
256 0.000220 0.000275 1.55138339
512 0.001557 0.001008 1.655917308
1024 0.018340 0.014659 2.003564558
2048 0.301715 0.018042 3.471509845
4096 2.553405 0.238993 10.933589245
64 0.000010 0.000129 1.54864256
128 0.000043 0.000142 1.570108543
256 0.000219 0.000280 1.601101349
512 0.001554 0.001076 1.661693434
1024 0.017785 0.014162 1.95257456
2048 0.301094 0.019476 3.459773983
4096 2.521517 0.243842 10.989168602
64 0.000010 0.000106 1.532941736
128 0.000037 0.000143 1.568991975
256 0.000220 0.000328 1.606466017
512 0.001558 0.001013 1.627855538
1024 0.018319 0.013855 2.04695078
2048 0.302478 0.017566 3.467049555
4096 2.609326 0.114814 10.890453556
64 0.000010 0.000102 1.593932346
128 0.000039 0.000138 1.521309939
256 0.000220 0.000287 1.61474699
512 0.001578 0.001016 1.599618095
1024 0.018074 0.014188 2.015420616
2048 0.301650 0.018166 3.489082589
4096 2.530809 0.218330 10.88756544
64 0.000009 0.000105 1.569249625
128 0.000037 0.000133 2.487820506
256 0.000219 0.000283 1.575218235
512 0.001559 0.001045 1.618788078
1024 0.017783 0.014454 1.98592762
2048 0.314728 0.015026 3.542811261
4096 2.521995 0.245598 10.884252032
