size comp_time   mpi_time  init_time  output_time  real_time
64 0.000011 0.000093 0.044472 0.010444 2.083783249
128 0.000026 0.000185 0.025505 0.009875 1.896445815
256 0.000176 0.000269 0.027294 0.012424 1.905036158
512 0.001136 0.001884 0.039884 0.015289 1.938360885
1024 0.017820 0.033826 0.084732 0.019062 2.027854888
2048 0.301473 0.041228 0.158569 0.055113 2.510775371
4096 2.541461 0.134165 0.349170 0.237695 5.181649114
64 0.000010 0.000076 0.023914 0.009386 1.897171369
128 0.000057 0.000139 0.024057 0.010008 1.900851385
256 0.000164 0.000394 0.023981 0.011221 1.927960089
512 0.001131 0.001205 0.021784 0.012678 1.904697371
1024 0.017213 0.027364 0.028802 0.018341 1.945421208
2048 0.299722 0.044151 0.049952 0.059382 2.367325109
4096 2.516836 0.164153 0.080270 0.231382 4.875115769
64 0.000009 0.000076 0.023103 0.009376 1.892344345
128 0.000057 0.000090 0.022777 0.009433 1.916276456
256 0.000187 0.000389 0.034425 0.010357 1.974648771
512 0.001552 0.001750 0.023643 0.012846 1.870021835
1024 0.018503 0.021877 0.027254 0.019392 1.925502541
2048 0.300015 0.048004 0.038062 0.047076 2.334565387
4096 2.490248 0.189567 0.084568 0.195737 4.849229836
64 0.000005 0.000104 0.033033 0.008647 1.909623372
128 0.000026 0.000137 0.022688 0.008437 1.920924864
256 0.000166 0.000401 0.043383 0.014441 1.922335171
512 0.001846 0.001048 0.022038 0.013629 1.945432018
1024 0.017112 0.024020 0.037548 0.021134 1.978946456
2048 0.299802 0.050168 0.038981 0.051648 2.356973327
4096 2.594395 0.106899 0.078050 0.200315 4.864604782
64 0.000006 0.000136 0.042297 0.009168 1.919114827
128 0.000042 0.000098 0.022364 0.008879 1.892366458
256 0.000222 0.000344 0.025696 0.010586 1.848838204
512 0.001131 0.001377 0.023485 0.013157 1.903771296
1024 0.020462 0.019662 0.031114 0.019687 1.957876528
2048 0.297616 0.048033 0.040747 0.057958 2.293045288
4096 2.537010 0.158679 0.080314 0.203000 4.896432871
64 0.000008 0.000113 0.022455 0.009335 1.886663209
128 0.000026 0.000175 0.025010 0.009581 1.905220107
256 0.000162 0.000256 0.020646 0.009151 1.88108258
512 0.001139 0.002011 0.031967 0.012796 1.899132636
1024 0.017141 0.026498 0.026464 0.019652 1.967903367
2048 0.303241 0.043088 0.038770 0.058188 2.291810563
4096 2.481926 0.274576 0.082609 0.228050 4.9547443
64 0.000005 0.000127 0.029914 0.008084 1.91659196
128 0.000026 0.000191 0.046197 0.009524 1.921766425
256 0.000163 0.000398 0.044577 0.010268 1.944910527
512 0.001149 0.001524 0.022467 0.012089 1.861693494
1024 0.017964 0.026633 0.028654 0.025662 1.99029571
2048 0.302579 0.037371 0.045693 0.052920 2.328467668
4096 2.525877 0.155153 0.077078 0.184346 4.834208577
64 0.000007 0.000075 0.022055 0.009541 1.908176591
128 0.000036 0.000148 0.024541 0.009827 1.873961642
256 0.000283 0.000275 0.024190 0.010095 1.888168798
512 0.001150 0.001756 0.030889 0.012742 1.929259557
1024 0.017187 0.025451 0.025464 0.018091 1.932136208
2048 0.297660 0.048267 0.047595 0.050939 2.334937622
4096 2.495859 0.233230 0.083628 0.197024 4.893870208
64 0.000007 0.000068 0.024069 0.009268 1.907390875
128 0.000026 0.000168 0.025780 0.010021 1.913493595
256 0.000166 0.000477 0.026514 0.010802 1.923620296
512 0.001156 0.001408 0.029111 0.013525 1.879166462
1024 0.017056 0.030313 0.028739 0.022859 1.942333399
2048 0.305830 0.053158 0.038985 0.049355 2.28348454
4096 2.584915 0.144288 0.129949 0.229686 5.012504477
64 0.000006 0.000085 0.024686 0.008635 1.953448887
128 0.000031 0.000165 0.021857 0.010849 1.860058568
256 0.000288 0.000320 0.024264 0.010335 1.945104573
512 0.001144 0.001604 0.029409 0.013874 1.921336576
1024 0.019046 0.020494 0.038071 0.018272 1.986494102
2048 0.301422 0.045505 0.040140 0.051628 2.354900451
4096 2.525372 0.162753 0.077517 0.171866 4.82410871
64 0.000005 0.000126 0.022502 0.008494 1.914824849
128 0.000026 0.000122 0.021616 0.008544 1.916666155
256 0.000162 0.000322 0.023184 0.010279 1.910043639
512 0.002111 0.000591 0.023623 0.013080 1.912448573
1024 0.017236 0.027247 0.027248 0.023092 1.932330149
2048 0.302806 0.048612 0.041032 0.047939 2.319965829
4096 2.476093 0.219831 0.082777 0.233423 4.929036414
64 0.000006 0.000086 0.022099 0.008729 1.878289476
128 0.000026 0.000172 0.031274 0.008996 1.894631565
256 0.000235 0.000270 0.024138 0.010353 1.885031466
512 0.001956 0.000818 0.023779 0.012610 1.950281327
1024 0.017242 0.023124 0.026137 0.021502 1.947728531
2048 0.302684 0.041543 0.049014 0.052773 2.404257687
4096 2.456390 0.187624 0.085251 0.191846 4.774516673
64 0.000010 0.000055 0.024550 0.012459 1.886293272
128 0.000026 0.000152 0.033434 0.008643 1.931119667
256 0.000263 0.000280 0.023078 0.010722 1.926868271
512 0.001132 0.002158 0.024214 0.013594 1.973815772
1024 0.019898 0.020280 0.039505 0.018301 2.015005493
2048 0.298114 0.043433 0.040150 0.054430 2.354819286
4096 2.543517 0.139490 0.080796 0.432283 5.090378031
64 0.000005 0.000105 0.033417 0.010602 1.908841329
128 0.000040 0.000124 0.022461 0.010557 1.891614635
256 0.000162 0.000329 0.022852 0.009899 1.880429681
512 0.001133 0.001659 0.024217 0.013259 1.919356331
1024 0.018716 0.023310 0.030841 0.025671 1.986683989
2048 0.297576 0.055561 0.037686 0.051690 2.344288887
4096 2.526291 0.144281 0.080783 0.199852 4.833420162
64 0.000008 0.000060 0.025851 0.009341 1.921164396
128 0.000031 0.000146 0.044793 0.009110 1.918288228
256 0.000302 0.000221 0.025778 0.013100 1.923288205
512 0.001135 0.002194 0.030498 0.012696 2.156440506
1024 0.019784 0.022010 0.028832 0.017761 1.976162801
2048 0.297471 0.041650 0.040525 0.053136 2.310204335
4096 2.527357 0.135491 0.080293 0.232987 4.827203596
64 0.000005 0.000071 0.024367 0.009614 1.921653288
128 0.000057 0.000086 0.024038 0.010646 1.833198061
256 0.000163 0.000472 0.041463 0.010195 1.936713258
512 0.001136 0.001112 0.024041 0.013399 1.95261791
1024 0.017572 0.027788 0.035571 0.020178 1.937870195
2048 0.299217 0.039693 0.037771 0.056979 2.365044486
4096 2.510354 0.143230 0.076650 0.220697 4.854401842
64 0.000006 0.000102 0.022705 0.008564 1.897433749
128 0.000026 0.000187 0.026206 0.011322 1.883928492
256 0.000164 0.000367 0.023483 0.012977 1.964785644
512 0.001147 0.001630 0.033528 0.013676 1.915866413
