size comp_time   mpi_time  init_time  output_time  real_time
64 0.000007 0.000102 0.045035 0.011784 1.766221491
128 0.000049 0.000130 0.055625 0.014565 1.601587076
256 0.000217 0.001026 0.100174 0.012402 1.694820076
512 0.001550 0.001758 0.095120 0.015933 1.644364918
1024 0.017910 0.014148 0.095122 0.027490 1.745387536
2048 0.300632 0.020418 0.227926 0.064145 2.15926856
4096 2.521573 0.194448 0.921946 0.182056 5.323427717
64 0.000007 0.000119 0.029733 0.010378 1.573961117
128 0.000033 0.000150 0.028286 0.013249 1.57351839
256 0.000216 0.000968 0.027787 0.012042 1.617604916
512 0.001539 0.001616 0.028455 0.015318 1.578008427
1024 0.017692 0.014654 0.030275 0.021820 1.630754582
2048 0.301355 0.019091 0.042296 0.052962 1.968927494
4096 2.500601 0.213525 0.073994 0.183986 4.573199864
64 0.000007 0.000103 0.027264 0.008878 1.596219567
128 0.000033 0.000167 0.027762 0.010991 1.583709571
256 0.000217 0.001009 0.154972 0.011096 1.827976565
512 0.001538 0.001681 0.027145 0.013802 1.553033427
1024 0.017776 0.015630 0.031431 0.023336 1.661706471
2048 0.300233 0.021643 0.039751 0.052422 1.956071798
4096 2.510327 0.179140 0.080773 0.183813 4.499718501
64 0.000007 0.000138 0.024924 0.009169 1.631387007
128 0.000034 0.000142 0.029115 0.010188 1.669297455
256 0.000217 0.000970 0.024840 0.010837 1.558555717
512 0.001536 0.001694 0.028488 0.014513 1.545888805
1024 0.017840 0.017630 0.030126 0.022032 1.621066962
2048 0.300463 0.019356 0.039590 0.053189 1.969004667
4096 2.515485 0.327231 0.071090 0.611463 5.210046063
64 0.000007 0.000106 0.027547 0.009235 1.613463409
128 0.000036 0.000159 0.030553 0.011047 1.594215466
256 0.000232 0.000896 0.028735 0.012623 1.59687964
512 0.001542 0.001842 0.029975 0.014370 1.624214643
1024 0.017900 0.013946 0.033022 0.021801 1.635908676
2048 0.300569 0.019642 0.040139 0.234426 2.138072698
4096 2.503467 0.259157 0.077076 0.237580 4.600435575
64 0.000007 0.000126 0.029502 0.009746 1.593152132
128 0.000033 0.000148 0.029280 0.011911 1.670312328
256 0.000217 0.001001 0.026355 0.011519 1.633005228
512 0.001556 0.001712 0.029568 0.015115 1.620284255
1024 0.018471 0.014377 0.029476 0.020818 1.618228332
2048 0.300883 0.019509 0.036050 0.049474 1.974019845
4096 2.505084 0.168102 0.070770 0.185412 4.475110474
64 0.000007 0.000115 0.033738 0.010381 1.596013751
128 0.000034 0.000140 0.025997 0.010610 1.602083314
256 0.000217 0.000934 0.026204 0.012725 1.581446307
512 0.001555 0.001639 0.026659 0.110854 1.669105392
1024 0.018877 0.019426 0.028224 0.020908 1.60171002
2048 0.299948 0.020974 0.039611 0.050966 1.964436336
4096 2.500065 0.188722 0.075477 0.379989 4.693560555
64 0.000007 0.000102 0.029895 0.010850 1.576705342
128 0.000034 0.000138 0.027370 0.010978 1.579350505
256 0.000218 0.001002 0.025329 0.011139 1.582373236
512 0.001559 0.001629 0.027994 0.018759 1.544406006
1024 0.017530 0.014838 0.040782 0.022234 1.658538129
2048 0.300193 0.020310 0.037403 0.073160 1.951633041
4096 2.503316 0.273135 0.073744 0.188901 4.592354806
64 0.000007 0.000116 0.027241 0.009167 1.643451195
128 0.000034 0.000159 0.028769 0.010507 1.615484766
256 0.000224 0.000962 0.027198 0.010654 1.632410536
